date,hits,words,shows,shows_with_hits,density_per_1000
2024-10-01,0,87436,24,0,0.000000
2024-10-02,0,80309,24,0,0.000000
2024-10-03,0,81355,24,0,0.000000
2024-10-04,0,71084,24,0,0.000000
2024-10-05,4,84391,23,2,0.047398
2024-10-06,4,76840,20,3,0.052056
2024-10-07,0,71489,24,0,0.000000
2024-10-08,1,73546,24,1,0.013597
2024-10-09,1,80213,24,1,0.012467
2024-10-10,1,52075,12,1,0.019203
2024-10-11,0,0,0,0,0.000000
2024-10-12,0,0,0,0,0.000000
2024-10-13,0,0,0,0,0.000000
2024-10-14,0,0,0,0,0.000000
2024-10-15,0,64890,21,0,0.000000
2024-10-16,0,81102,24,0,0.000000
2024-10-17,0,82662,24,0,0.000000
2024-10-18,0,72760,41,0,0.000000
2024-10-19,0,81339,48,0,0.000000
2024-10-20,1,75565,46,1,0.013234
2024-10-21,2,83557,24,2,0.023936
2024-10-22,0,82874,24,0,0.000000
2024-10-23,1,73232,23,1,0.013655
2024-10-24,4,77465,23,4,0.051636
2024-10-25,4,83693,24,2,0.047794
2024-10-26,0,86418,24,0,0.000000
2024-10-27,0,81626,24,0,0.000000
2024-10-28,3,84150,24,3,0.035651
2024-10-29,3,78774,24,3,0.038084
2024-10-30,1,75341,24,1,0.013273
2024-10-31,0,81349,24,0,0.000000
2024-11-01,1,70691,24,1,0.014146
2024-11-02,1,80131,24,1,0.012480
2024-11-03,2,78793,24,1,0.025383
2024-11-04,0,78159,24,0,0.000000
2024-11-05,1,86310,23,1,0.011586
2024-11-06,0,85046,24,0,0.000000
2024-11-07,3,86646,24,3,0.034624
2024-11-08,1,80721,24,1,0.012388
2024-11-09,1,82814,24,1,0.012075
2024-11-10,0,83733,24,0,0.000000
2024-11-11,0,83328,24,0,0.000000
2024-11-12,2,86361,24,2,0.023159
2024-11-13,2,84504,24,2,0.023668
2024-11-14,0,83473,24,0,0.000000
2024-11-15,0,84763,24,0,0.000000
2024-11-16,2,84613,24,2,0.023637
2024-11-17,2,84543,24,2,0.023657
2024-11-18,0,85652,24,0,0.000000
2024-11-19,0,86046,24,0,0.000000
2024-11-20,0,90458,24,0,0.000000
2024-11-21,1,94347,24,1,0.010599
2024-11-22,0,87599,24,0,0.000000
2024-11-23,3,88653,24,3,0.033840
2024-11-24,11,75931,24,6,0.144868
2024-11-25,7,87162,24,3,0.080310
2024-11-26,1,83853,24,1,0.011926
2024-11-27,2,86025,24,2,0.023249
2024-11-28,0,83558,24,0,0.000000
2024-11-29,2,80174,24,2,0.024946
2024-11-30,0,89735,24,0,0.000000
2024-12-01,1,77379,24,1,0.012923
2024-12-02,0,80404,24,0,0.000000
2024-12-03,0,84153,24,0,0.000000
2024-12-04,0,88519,24,0,0.000000
2024-12-05,2,79644,24,2,0.025112
2024-12-06,6,82189,24,2,0.073002
2024-12-07,0,78376,24,0,0.000000
2024-12-08,0,76318,24,0,0.000000
2024-12-09,3,84968,23,1,0.035307
2024-12-10,0,82840,24,0,0.000000
2024-12-11,0,80168,24,0,0.000000
2024-12-12,2,86044,24,1,0.023244
2024-12-13,5,80275,24,2,0.062286
2024-12-14,0,75968,22,0,0.000000
2024-12-15,0,89158,24,0,0.000000
2024-12-16,0,79599,24,0,0.000000
2024-12-17,2,82037,24,1,0.024379
2024-12-18,0,83802,24,0,0.000000
2024-12-19,0,88009,24,0,0.000000
2024-12-20,1,89764,24,1,0.011140
2024-12-21,0,88176,24,0,0.000000
2024-12-22,0,76468,24,0,0.000000
2024-12-23,0,78188,24,0,0.000000
2024-12-24,0,79325,24,0,0.000000
2024-12-25,0,85718,24,0,0.000000
2024-12-26,1,84264,21,1,0.011867
2024-12-27,3,90520,24,1,0.033142
2024-12-28,1,87751,24,1,0.011396
2024-12-29,1,77316,24,1,0.012934
2024-12-30,3,90269,22,2,0.033234
2024-12-31,5,83512,24,2,0.059872
2025-01-01,5,89203,24,5,0.056052
2025-01-02,1,87966,24,1,0.011368
2025-01-03,0,98484,24,0,0.000000
2025-01-04,1,88660,24,1,0.011279
2025-01-05,0,83661,24,0,0.000000
2025-01-06,1,85234,24,1,0.011732
2025-01-07,0,87025,24,0,0.000000
2025-01-08,1,92603,24,1,0.010799
2025-01-09,0,91720,21,0,0.000000
2025-01-10,0,86583,23,0,0.000000
2025-01-11,1,90647,24,1,0.011032
2025-01-12,1,75109,24,1,0.013314
2025-01-13,0,83028,24,0,0.000000
2025-01-14,0,90726,24,0,0.000000
2025-01-15,0,88271,24,0,0.000000
2025-01-16,0,84799,26,0,0.000000
2025-01-17,0,78930,24,0,0.000000
2025-01-18,0,94365,23,0,0.000000
2025-01-19,0,82987,22,0,0.000000
2025-01-20,0,91074,24,0,0.000000
2025-01-21,0,91195,23,0,0.000000
2025-01-22,0,87970,24,0,0.000000
2025-01-23,1,94670,24,1,0.010563
2025-01-24,0,86655,24,0,0.000000
2025-01-25,0,95641,23,0,0.000000
2025-01-26,0,82133,22,0,0.000000
2025-01-27,2,85037,21,2,0.023519
2025-01-28,0,85303,24,0,0.000000
2025-01-29,1,88764,24,1,0.011266
2025-01-30,0,85407,24,0,0.000000
2025-01-31,0,79054,24,0,0.000000
2025-02-01,0,90836,23,0,0.000000
2025-02-02,0,85295,23,0,0.000000
2025-02-03,1,81196,24,1,0.012316
2025-02-04,3,89888,24,1,0.033375
2025-02-05,2,77128,24,1,0.025931
2025-02-06,2,80582,24,2,0.024819
2025-02-07,5,85373,24,4,0.058567
2025-02-08,9,94230,23,7,0.095511
2025-02-09,5,78006,23,4,0.064098
2025-02-10,21,80025,24,11,0.262418
2025-02-11,20,93656,24,8,0.213547
2025-02-12,0,94587,24,0,0.000000
2025-02-13,0,89097,24,0,0.000000
2025-02-14,0,79438,24,0,0.000000
2025-02-15,0,96011,23,0,0.000000
2025-02-16,1,77749,23,1,0.012862
2025-02-17,0,80789,24,0,0.000000
2025-02-18,2,80934,24,2,0.024711
2025-02-19,2,89780,24,2,0.022277
2025-02-20,0,81621,24,0,0.000000
2025-02-21,0,90134,24,0,0.000000
2025-02-22,0,88219,23,0,0.000000
2025-02-23,0,80224,23,0,0.000000
2025-02-24,0,82213,24,0,0.000000
2025-02-25,0,81822,24,0,0.000000
2025-02-26,0,81489,24,0,0.000000
2025-02-27,0,79787,24,0,0.000000
2025-02-28,0,90559,24,0,0.000000
2025-03-01,2,88798,23,2,0.022523
2025-03-02,0,88583,23,0,0.000000
2025-03-03,1,89702,24,1,0.011148
2025-03-04,0,82819,24,0,0.000000
2025-03-05,0,94148,22,0,0.000000
2025-03-06,0,91171,24,0,0.000000
2025-03-07,0,83333,24,0,0.000000
2025-03-08,0,91366,23,0,0.000000
2025-03-09,0,85436,23,0,0.000000
2025-03-10,0,80576,24,0,0.000000
2025-03-11,1,89345,24,1,0.011193
2025-03-12,3,86228,24,3,0.034791
2025-03-13,0,85373,24,0,0.000000
2025-03-14,0,92418,24,0,0.000000
2025-03-15,2,85928,23,1,0.023275
